cell_id,model,persona,construct_id,left,right,cluster
B_P_run5,M5,Q,C_M5_1,Existential-normative framing,Systems-analytical diagnosis,8
B_P_run5,M5,Q,C_M5_2,Existential-normative framing,Hypothesis-driven analytical diagnosis,8
B_P_run5,M5,Q,C_M5_3,Existential-normative framing,Signal-based empirical diagnosis,8
C_N_run1,M1,neutral,C_M1_1,"Prioritizes user trust and privacy as paramount (E1, E5)",Prioritizes model capability and business economics (E2),7
C_N_run1,M1,neutral,C_M1_2,"Grounds rationale in safety and liability risks (E4, E5)",Grounds rationale in product capability and unit economics (E2),1
C_N_run1,M1,neutral,C_M1_3,"Opposes any training on user health data (E4, E5)",Permits training with explicit user opt-in (E2),6
C_N_run1,M2,neutral,C_M2_1,Encrypted cloud with no training,Cloud with opt-in training,6
C_N_run1,M2,neutral,C_M2_2,Prohibits health-data model training,Allows explicit opt-in training,6
C_N_run1,M2,neutral,C_M2_3,Trust and safety over model improvement,Capability and economics via training opt-in,7
C_N_run1,M3,neutral,C_M3_1,"both discuss ""full capability""","local model capability (E3 mentions ""60–70% capability local model"", E2 mentions ""AI must operate at full capability"").",1
C_N_run1,M4,neutral,C_M4_1,Trust as existential asset,Safety and liability imperatives,2
C_N_run1,M4,neutral,C_M4_2,Regulatory and legal risk compliance,User trust and brand reputation,7
C_N_run1,M4,neutral,C_M4_3,Strict no-training data policy,Opt-in consent for model training,6
C_N_run2,M1,neutral,C_M1_1,Grounds rationale in specific regulatory statutes,Grounds rationale in trust and competitive positioning,7
C_N_run2,M1,neutral,C_M1_2,Emphasizes breadth of sensitive data types processed,Emphasizes regulatory and systemic compliance risk,7
C_N_run2,M1,neutral,C_M1_3,Frames trust as defensive risk mitigation,Frames trust as offensive competitive moat,7
C_N_run2,M2,neutral,C_M2_1,No training on user health data,Opt-in training for personalization,6
C_N_run2,M2,neutral,C_M2_2,Trust-as-moat privacy framing,Legal/regulatory risk framing with enclaves,7
C_N_run2,M2,neutral,C_M2_3,Privacy-first no-training policy,Personalization-first opt-in training policy,6
C_N_run2,M4,neutral,C_M4_1,Emphasizes regulatory and trust protection as primary value,Explicitly frames option as only path that secures both values,7
C_N_run2,M4,neutral,C_M4_2,Highlights the need for powerful personalization alongside trust,Positions trust as the singular paramount currency,7
C_N_run2,M4,neutral,C_M4_3,Frames recommendation around balancing personalization with trust,Uniquely stresses trust as strategic asset above all other considerations,7
C_N_run3,M1,neutral,C_M1_1,Cites specific regulations and technical mechanisms (E5),"Argues from brand trust and business principles (E3, E4)",7
C_N_run3,M1,neutral,C_M1_2,"Prioritizes AI quality through opt-in training (E1, E2)",Prioritizes trust by forbidding training entirely (E3),7
C_N_run3,M1,neutral,C_M1_3,Frames health data via regulatory compliance lens (E1),"Frames health data via user intimacy and trust (E3, E4)",8
C_N_run3,M2,neutral,C_M2_1,Opt-in user-data training allowed,Strict no-training on health data,6
C_N_run3,M2,neutral,C_M2_2,Opt-in training to improve personalization,No-training policy to maximize trust,6
C_N_run3,M2,neutral,C_M2_3,Adaptive coaching enabled by opt-in training,Trust-first ban on health-data training,6
C_N_run3,M3,neutral,C_M3_1,Recommends Option B with strict no-training policy,Recommends Option D with opt-in training allowed,6
C_N_run3,M3,neutral,C_M3_2,Explicitly cites the two million monthly user metric,Omits any specific user volume metrics,7
C_N_run3,M4,neutral,C_M4_1,trust and regulatory defensibility as balanced priority,trust as the foundational business imperative,7
C_N_run3,M4,neutral,C_M4_2,recommends cloud with opt-in training (Option D),recommends no training on user data (Option B),6
C_N_run3,M4,neutral,C_M4_3,prioritized user trust and privacy protection,balanced user experience with privacy safeguards,7
C_N_run4,M1,neutral,C_M1_1,"Grounds recommendation in specific health data categories (E4, E5)",Argues from general capability-versus-privacy tradeoff (E2),6
C_N_run4,M1,neutral,C_M1_2,"Frames trust as foundational/existential to product (E3, E5)",Frames choice as regulatory and quality optimization (E2),7
C_N_run4,M1,neutral,C_M1_3,"Uses vivid, absolutist rhetoric about trust (E3, E5)",Enumerates concrete sensitive data types pragmatically (E4),7
C_N_run4,M2,neutral,C_M2_1,Strategic trust-and-capability rhetoric,Concrete health-data risk inventory,7
C_N_run4,M2,neutral,C_M2_2,Trust-first privacy absolutism,Explicit alternative-by-alternative trade-off analysis,7
C_N_run4,M2,neutral,C_M2_3,Explicit local-only capability critique,Pure privacy-and-trust rationale,6
C_N_run4,M3,neutral,C_M3_1,Focuses purely on data sensitivity and user trust,Balances privacy needs with AI model capability constraints,6
C_N_run4,M3,neutral,C_M3_2,Rejects local-only alternatives due to inferior AI performance,Frames choice entirely around avoiding retained data footprints,6
C_N_run4,M4,neutral,C_M4_1,Critiques local option's AI quality,Omits local option critique,7
C_N_run4,M4,neutral,C_M4_2,Omits regulatory concerns,Mentions regulatory avoidance,7
C_N_run4,M4,neutral,C_M4_3,Acknowledges model capability,Focuses exclusively on trust,7
C_N_run4,M5,neutral,C_M5_1,Evaluates capability limitations of local processing,Focuses solely on data privacy breach risks,6
C_N_run4,M5,neutral,C_M5_2,Acknowledges model quality as a competing priority,Treats trust as the exclusive imperative,7
C_N_run4,M5,neutral,C_M5_3,Provides specific technical or categorical details,Relies on abstract foundational principles,8
C_N_run5,M2,neutral,C_M2_1,Regulatory-compliance case for no-training enclaves,User-harm and trust case for no-training enclaves,4
C_N_run5,M2,neutral,C_M2_2,Absolute no-training privacy stance,Opt-in training for model improvement,6
C_N_run5,M2,neutral,C_M2_3,Privacy-maximizing no-training cloud enclaves,Consent-based training to improve coaching quality,6
C_N_run5,M4,neutral,C_M4_1,Opt-in training to improve personalization,"No training on user health data, full stop",6
C_N_run5,M4,neutral,C_M4_2,Recommendation for Option D,Recommendation for Option B,7
C_N_run5,M4,neutral,C_M4_3,Consent-based data usage for model improvement,Complete prohibition on using data for training,6
C_P_run1,M1,E,C_M1_1,"Systemic risk/expected-value reasoning (E1, E5)",Deontological duty to protect vulnerable users (E4),1
C_P_run1,M1,E,C_M1_2,"Identifies single binding constraint to address (E3, E5)",Maps interdependent feedback loops in system (E1),1
C_P_run1,M1,E,C_M1_3,"Delivers concrete architectural recommendation (E1, E5)",Challenges premises without prescribing action (E2),1
C_P_run1,M2,H,C_M2_1,Concrete risk-architecture recommendation,Contrarian paradigm challenge,7
C_P_run1,M2,H,C_M2_2,Institutional risk and liability calculus,Human harm and dignity framing,2
C_P_run1,M2,H,C_M2_3,Cloud-skeptical privacy maximalism,Privacy-preserving cloud compromise,6
C_P_run1,M3,C,C_M3_1,Structural mitigation of unbounded systemic liability,Normative fulfillment of ethical duty to individuals,2
C_P_run1,M3,C,C_M3_2,Acceptance of centralized infrastructure risks with surface mitigations,Architectural elimination of single points of failure via decentralization,3
C_P_run1,M4,Q,C_M4_1,Recommends encrypted cloud (Option B),Challenges necessity of cloud data extraction,6
C_P_run1,M4,Q,C_M4_2,Advocates for encrypted cloud no-training,Critiques assumption cloud needed for AI,6
C_P_run1,M4,Q,C_M4_3,Supports encrypted cloud architecture,Questions dogma of data extraction,6
C_P_run1,M5,S,C_M5_1,Paradigm-challenging architecture (radical decentralization),Risk-managed centralization (optimized cloud solutions),6
C_P_run1,M5,S,C_M5_2,Technical systems analysis,Normative ethical critique,2
C_P_run1,M5,S,C_M5_3,Institutional risk-cost calculus,User-centric moral agency,2
C_P_run2,M1,E,C_M1_1,"E4, E5 — grounds choice in user-centric ethical/trust primitives",E1 — grounds choice in expected-value tradeoff calculus,1
C_P_run2,M1,E,C_M1_2,"E1, E3 — direct constraint-driven engineering recommendation",E2 — rhetorical challenge to industry consensus,7
C_P_run2,M1,E,C_M1_3,"E1, E2 — argues from capability/risk tradeoff logic",E4 — argues from intrinsic sensitivity of health data,1
C_P_run2,M2,H,C_M2_1,Trust-first adoption logic,Capability tradeoff optimization,7
C_P_run2,M2,H,C_M2_2,Encrypted cloud safeguard compromise,Local-only privacy absolutism,6
C_P_run2,M2,H,C_M2_3,Trust as primary bottleneck,Expected-value capability balancing,7
C_P_run2,M3,C,C_M3_1,Assumes risk is a calculable institutional and economic externality,Assumes risk is an incalculable moral injury to human vulnerability,2
C_P_run2,M3,C,C_M3_2,Acceptance of standard problem framing to deduce direct domain constraints,Contrarian epistemological inversion of unanimous tech industry assumptions,7
C_P_run2,M4,Q,C_M4_1,Decision driven by expected value calculation,Decision driven by non-negotiable principle,9
C_P_run2,M4,Q,C_M4_2,Analysis grounded in regulatory and breach economics,Analysis grounded in ethical vulnerability and trust dynamics,2
C_P_run2,M4,Q,C_M4_3,Privacy as a measurable constraint to optimize against,Privacy as an ethical imperative rooted in bodily autonomy,2
C_P_run3,M2,H,C_M2_1,Cloud allowed with no training,Local-only processing,6
C_P_run3,M2,H,C_M2_2,Local-only as trust protection,Encrypted cloud as acceptable constraint,6
C_P_run3,M2,H,C_M2_3,Capability skepticism and avoidance,Regulatory-trust constraint management,7
C_P_run3,M4,Q,C_M4_1,No training allowed,Opt-in training allowed,6
C_P_run3,M4,Q,C_M4_2,Local-only processing,Cloud-based processing,6
C_P_run3,M4,Q,C_M4_3,Qualitative trust/ethics framework,Quantitative expected value framework,2
C_P_run4,M1,E,C_M1_1,Risk-minimizing mechanism analysis of data exposure,Harm-centered ethical framing of vulnerable users,2
C_P_run4,M1,E,C_M1_2,Accept premise that capable AI requires cloud,Challenge whether cloud-scale capability is needed,6
C_P_run4,M1,E,C_M1_3,Recommends specific named option from the brief,Rejects the framing and proposes alternative architecture,7
C_P_run4,M2,H,C_M2_1,Accept lower capability to avoid cloud data exposure,Use cloud data for returns and capability,6
C_P_run4,M2,H,C_M2_2,Minimize health-data harm and trust risk,Maximize measurable returns through opt-in training,6
C_P_run4,M2,H,C_M2_3,"Encrypted cloud, no user-data training",Opt-in cloud training for expected value,6
C_P_run4,M4,Q,C_M4_1,Encrypted cloud processing,Local-only inference,6
C_P_run4,M4,Q,C_M4_2,Trust-based risk minimization,Expected value maximization,7
C_P_run4,M4,Q,C_M4_3,No training use,Opt-in training use,6
C_P_run5,M1,E,C_M1_1,"Risk/trust exposure as binding constraint (E1, E4)",Quantified expected-value optimization (E3),1
C_P_run5,M1,E,C_M1_2,"Accepts cloud inference, restricts data use (E1, E2)",Rejects cloud inference premise entirely (E5),6
C_P_run5,M1,E,C_M1_3,Terse first-principles constraint identification (E1),"Discursive stakeholder/tradeoff reasoning (E2, E3)",1
C_P_run5,M2,H,C_M2_1,Managed encrypted-cloud trust constraint,Local-only rejection of cloud dependence,6
C_P_run5,M2,H,C_M2_2,Precautionary challenge to capability maximization,Expected-value optimization of measurable tradeoffs,9
C_P_run5,M2,H,C_M2_3,Systemic trust-risk containment,Contrarian local-only necessity challenge,7
C_P_run5,M3,C,C_M3_1,Managing asymmetric systemic fragility and existential tail risk,Fulfilling moral duties to protect individually vulnerable populations,2
C_P_run5,M3,C,C_M3_2,"Rejecting the illusion of predictable, quantifiable expected value",Trusting linear expected value frameworks and measurable probability distributions,7
C_P_run5,M4,Q,C_M4_1,Advocates encrypted cloud with no training,Advocates local-only processing,6
C_P_run5,M4,Q,C_M4_2,Qualitative normative reasoning,Quantitative expected-value analysis,2
C_P_run5,M4,Q,C_M4_3,Single overriding constraint focus,Multi-factor trade-off optimization,7
C_P_run5,M5,S,C_M5_1,Cloud-with-safeguards acceptance,Local-only architecture,6
C_P_run5,M5,S,C_M5_2,Downside-constraint identification,Expected-value optimization,9
C_P_run5,M5,S,C_M5_3,Cloud-dependency premise,Local-only mandate,6
D_N_run1,M1,neutral,C_M1_1,"Accept coastline loss, relocate populations inland",Build systemic technological and resilience capacity,3
D_N_run1,M1,neutral,C_M1_2,Work with natural or human geographic limits,Overcome constraints through technology and innovation,3
D_N_run1,M1,neutral,C_M1_3,Address coastline exposure directly via physical strategy,Transform economy through technology and digital systems,3
D_N_run1,M2,neutral,C_M2_1,Ecosystem-based coastal adaptation,Managed retreat and relocation,3
D_N_run1,M2,neutral,C_M2_2,Technology-led systemic resilience,Nature-based ecosystem adaptation,3
D_N_run1,M2,neutral,C_M2_3,In-place ecosystem protection,Planned relocation from high-risk zones,3
D_N_run1,M3,neutral,C_M3_1,Endorses ecosystem-based adaptation for coastal defense,Endorses technological agility for economic resilience,3
D_N_run1,M3,neutral,C_M3_2,Explicitly critiques the financial impossibility of Option A,Avoids explicit budget arithmetic to focus on macroeconomic threats,7
D_N_run1,M4,neutral,C_M4_1,primary strategy is ecosystem-based adaptation (E3),"primary strategy is managed retreat (E4, E5)",1
D_N_run1,M4,neutral,C_M4_2,explicitly allocates budget between options (E2),"recommends a single primary option without budget breakdown (E3, E5)",1
D_N_run1,M4,neutral,C_M4_3,"prioritizes natural or human-centered adaptation over hard infrastructure (E2, E3)",prioritizes managed retreat over ecosystem or mixed approaches (E4),3
D_N_run2,M1,neutral,C_M1_1,Focus on human/social systems as primary resilience,Focus on technological/engineered platforms as primary resilience,3
D_N_run2,M1,neutral,C_M1_2,Nature-based defenses leveraging ecological systems,Engineered technology-based adaptive systems,3
D_N_run2,M1,neutral,C_M1_3,Single-domain anchor strategy (ecology or people or tech),N/A,3
D_N_run2,M2,neutral,C_M2_1,Ecosystem-led natural defenses,Technology-led resilience platform,3
D_N_run2,M2,neutral,C_M2_2,In-place adaptation and protection,Managed retreat and relocation,3
D_N_run2,M2,neutral,C_M2_3,Human-centered adaptation,Technology-centered resilience,3
D_N_run2,M3,neutral,C_M3_1,"Focus on human capital, social solidarity, and psychological resilience","Focus on structural, environmental, or technological infrastructure systems",3
D_N_run2,M3,neutral,C_M3_2,"Strategizes around demographic shifts, compounding crises, and internal migration",Narrowly zeroes in on comparative cost-efficiency of coastal defense,3
D_N_run2,M4,neutral,C_M4_1,Infrastructure-based adaptation (green or tech),Human-centered social resilience,3
D_N_run2,M4,neutral,C_M4_2,Managed retreat and relocation,In-situ adaptation and protection,3
D_N_run2,M4,neutral,C_M4_3,Landscape and ecological intervention,Social and human capital development,3
D_N_run2,M5,neutral,C_M5_1,Physical place-based adaptation strategies,Social human-capital and cohesion strategies,3
D_N_run2,M5,neutral,C_M5_2,Physical territorial management approaches,Social human-centric resilience building,3
D_N_run2,M5,neutral,C_M5_3,Ecosystem-based adaptation strategies,Social cohesion and human-capital focus,3
D_N_run3,M1,neutral,C_M1_1,"E1, E4 — tackle physical/biophysical exposure directly",E3 — prioritize human/social fabric over physical threats,1
D_N_run3,M1,neutral,C_M1_2,"E3, E5 — invest in people and natural systems",E2 — physically relocate populations away from risk,1
D_N_run3,M1,neutral,C_M1_3,"E4, E5 — distributed, low-cost defense across full coastline",E2 — structural withdrawal from indefensible areas,1
D_N_run3,M2,neutral,C_M2_1,People-centered social adaptation,Ecosystem-centered physical protection,3
D_N_run3,M2,neutral,C_M2_2,In-place resilience and protection,Planned relocation from risk,3
D_N_run3,M2,neutral,C_M2_3,Cross-sector national capability building,Coastal ecosystem defense,3
D_N_run3,M3,neutral,C_M3_1,Focus on mitigating physical and geographic risks,Focus on maintaining social cohesion and human capital,3
D_N_run3,M3,neutral,C_M3_2,Technological and dynamic systems approach,Ecosystem-based and natural infrastructure approach,3
D_N_run3,M3,neutral,C_M3_3,Centered on social capabilities and the social contract,Centered on,2
D_N_run3,M4,neutral,C_M4_1,Single primary strategy,Hybrid multi-strategy blend,0
D_N_run3,M4,neutral,C_M4_2,Engineered and planned interventions,Nature-based adaptation,3
D_N_run3,M4,neutral,C_M4_3,Ecosystem-based adaptation,Managed retreat and relocation,3
D_N_run4,M1,neutral,C_M1_1,"E1, E2 — physical/ecological coastal defense focus",E5 — human/social adaptation focus,1
D_N_run4,M1,neutral,C_M1_2,"E1, E2 — nature-based, scale-matched to coastline","E3 — technology-driven, multi-domain platform",1
D_N_run4,M1,neutral,C_M1_3,"E1, E4 — explicit portfolio with budget allocation logic",E3 — single-strategy bet on integrated tech platform,1
D_N_run4,M2,neutral,C_M2_1,E1: hybrid ecosystem-plus-infrastructure strategy,E2/E4: ecosystem adaptation as clear backbone,1
D_N_run4,M2,neutral,C_M2_2,E4/E5: socio-ecological resilience first,E3: technology platform resilience first,3
D_N_run4,M2,neutral,C_M2_3,E1: explicit budget split and hard-infrastructure fallback,E2/E4: broader ecosystem-led transformation,1
D_N_run4,M3,neutral,C_M3_1,Focus on mitigating physical coastal and infrastructure threats,Focus on managing demographic shifts and social crises,3
D_N_run4,M3,neutral,C_M3_2,Broad strategies addressing multi-domain environmental and physical systems,Targeted strategy addressing human displacement and psychological rupture,3
D_N_run4,M4,neutral,C_M4_1,Ecosystem restoration vs. socio-technical transformation,Ecosystem restoration vs. socio-technical transformation,3
D_N_run4,M4,neutral,C_M4_2,Nature-based defense vs. people-centered adaptation,Nature-based defense vs. people-centered adaptation,3
D_N_run4,M4,neutral,C_M4_3,Physical risk mitigation vs. social resilience building,Physical risk mitigation vs. social resilience building,3
D_N_run5,M1,neutral,C_M1_1,Defend coastline in place with natural barriers,Relocate people away from exposed zones,3
D_N_run5,M1,neutral,C_M1_2,Differentiated allocation with hard defenses for key nodes,Ecosystem-based adaptation applied uniformly nationwide,3
D_N_run5,M1,neutral,C_M1_3,Protect existing coastal settlements via defenses,Withdraw assets and population from risk zones,3
D_N_run5,M2,neutral,C_M2_1,Ecosystem defenses as primary strategy,Managed retreat as primary strategy,3
D_N_run5,M2,neutral,C_M2_2,Spatial coastal risk reduction,Human-capital resilience building,3
D_N_run5,M2,neutral,C_M2_3,Nature-based coastal protection,Social cohesion and human capital,3
D_N_run5,M3,neutral,C_M3_1,Prioritizes physical ecosystem defenses and environmental modification,"Prioritizes social capacity, human capital, and climate literacy",3
D_N_run5,M3,neutral,C_M3_2,Anticipates and manages population displacement from hazard zones,Defends existing coastal perimeters in place using natural barriers,3
D_P_run1,M1,H,C_M1_1,"E2, E3 — narrative grounding in affected human populations",E1 — abstract quantitative risk formalism,1
D_P_run1,M1,H,C_M1_2,"E1, E5 — systems/quantitative reasoning from non-stationarity",E3 — stakeholder-centered identification of who bears harm,1
D_P_run1,M1,H,C_M1_3,E4 — building diffuse adaptive capacity in people,"E2, E5 — managing physical exposure and infrastructure",3
D_P_run1,M2,C,C_M2_1,Non-stationary hazard dynamics first,Planned exposure reduction first,9
D_P_run1,M2,C,C_M2_2,Human transition and social capacity,Quantified physical-risk calculus,3
D_P_run1,M2,C,C_M2_3,Physical-systems technocratic adaptation,Social-capacity community adaptation,3
D_P_run1,M3,Q,C_M3_1,Falsifiable probability calculations using empirical hazard frequencies,Unmeasurable qualitative social constructs lacking empirical definition,9
D_P_run1,M3,Q,C_M3_2,Modeling physical risks via stochastic shocks and statistical non-stationarity,Theories of endogenous social adaptive capacity lacking testable variables,3
D_P_run1,M4,S,C_M4_1,Physical retreat and exposure management,Social cohesion and human capital investment,3
D_P_run1,M4,S,C_M4_2,Analytical risk and technology solutions,Human-centered social vulnerability focus,3
D_P_run1,M4,S,C_M4_3,Social cohesion and human capital development,Technological resilience and infrastructure platform,3
D_P_run2,M1,H,C_M1_1,"Designs around irreducible uncertainty and optionality (E3, E5)",Anchors decision in identified affected populations (E4),9
D_P_run2,M1,H,C_M1_2,"Treats people as the locus of resilience (E2, E4)",Treats risk as a calculable optimization problem (E1),1
D_P_run2,M1,H,C_M1_3,Foregrounds distributional impacts on vulnerable stakeholders (E4),"Reasons from system dynamics and physical constraints (E2, E3)",3
D_P_run2,M2,C,C_M2_1,Physical limits dictate retreat,Uncertainty demands adaptive flexibility,3
D_P_run2,M2,C,C_M2_2,Reduce fixed coastal exposure,Preserve options through technology platforms,3
D_P_run2,M2,C,C_M2_3,Technocratic risk arithmetic,Equity-centered social vulnerability,2
D_P_run2,M3,Q,C_M3_1,Falsifiable point estimates and measurable demographic baselines,Irreducible strategic uncertainty requiring real-options flexibility,7
D_P_run2,M3,Q,C_M3_2,Unobservable systems-theory abstractions lacking operational parameters,Strict arithmetic deduction from bounded biophysical and economic data,7
D_P_run2,M4,S,C_M4_1,Prioritizing social adaptive capacity and human capital,Minimizing physical exposure via managed retreat,3
D_P_run2,M4,S,C_M4_2,Strengthening social cohesion and equity as core strategy,Building a flexible technology-and-resilience platform,3
D_P_run2,M4,S,C_M4_3,Hazard-exposure arithmetic and physical constraint logic,Socio-ecological adaptive capacity as leverage point,3
D_P_run3,M1,H,C_M1_1,"Centers human vulnerability and adaptive capacity (E1, E3)",Centers empirical data and probabilistic optimization (E2),3
D_P_run3,M1,H,C_M1_2,"People-first, social resilience as primary strategy (E1, E4)",Infrastructure-and-relocation logistics as primary strategy (E2),3
D_P_run3,M1,H,C_M1_3,"Accepts displacement as inevitable, plans accordingly (E1, E2)",Seeks to prevent displacement through physical buffering (E5),1
D_P_run3,M2,C,C_M2_1,Empirical/biophysical hazard-mechanism framing,Social-institutional adaptive-capacity framing,3
D_P_run3,M2,C,C_M2_2,Reactive safety net for inevitable displacement,Proactive population resilience under uncertainty,3
D_P_run3,M2,C,C_M2_3,Social protection and adaptive capacity first,Spatial retreat and relocation first,3
D_P_run3,M3,Q,C_M3_1,Operationalizable mechanisms grounded in statistical and biophysical data,Non-falsifiable sociological generalizations lacking quantitative measurement,8
D_P_run3,M3,Q,C_M3_2,Hedging expected loss through demographic mobility and human variables,Mitigating expected loss through measurable kinetic energy dissipation,3
D_P_run3,M4,S,C_M4_1,Social/institutional adaptation as the primary lever,Physical/ecological infrastructure as the primary lever,3
D_P_run3,M4,S,C_M4_2,Systemic capacity as the intervention substrate,Probabilistic optimization of specific interventions,9
D_P_run3,M4,S,C_M4_3,Epistemological commitment to empirical forecast accuracy,Epistemological commitment to robustness under forecast failure,7
D_P_run3,M5,E,C_M5_1,Human adaptive capacity and institutional trust,Biophysical energy dissipation mechanisms,3
D_P_run3,M5,E,C_M5_2,Binding constraint identification,Expected value optimization under uncertainty,9
D_P_run3,M5,E,C_M5_3,Equity-focused vulnerability protection,Universal capability and mobility building,3
D_P_run4,M2,C,C_M2_1,Relocation to eliminate high-risk physical exposure,Human systems as core adaptive infrastructure,3
D_P_run4,M2,C,C_M2_2,Population capacity and cohesion as leverage,Asset exposure elimination as optimization,3
D_P_run4,M2,C,C_M2_3,People-centered migrant absorption and resilience,Risk-equation-driven retreat from exposed assets,3
D_P_run4,M3,Q,C_M3_1,Relies on unoperationalized anecdotes or abstract theory lacking empirical baselines,Anchors problem definition in measurable demographic and macroeconomic baseline data,8
D_P_run4,M3,Q,C_M3_2,Targets structurally complex socio-behavioral systems with high measurement uncertainty,Targets physical interventions with deterministic geophysical and falsifiable financial constraints,3
D_P_run4,M4,S,C_M4_1,Asset-centric managed retreat,People-centric adaptive resilience,3
D_P_run4,M4,S,C_M4_2,Asset-centric managed retreat,People-centric adaptive resilience,3
D_P_run4,M4,S,C_M4_3,Asset-centric managed retreat,People-centric adaptive resilience,3
D_P_run5,M1,H,C_M1_1,"Resilience built through social/adaptive capacity (E1, E4)",Resilience through physical/engineering mechanism (E5),3
D_P_run5,M1,H,C_M1_2,"Qualitative reasoning about dignity and adaptive capacity (E1, E4)",Quantitative expected-value loss minimization (E3),2
D_P_run5,M1,H,C_M1_3,"Protection via spatial/physical reconfiguration of exposure (E3, E5)",Protection via social fabric and institutional cohesion (E2),3
D_P_run5,M2,C,C_M2_1,Social adaptive capacity as national resilience,Quantified exposure reduction as risk minimization,3
D_P_run5,M2,C,C_M2_2,Human and institutional resilience first,Coastal energy-dissipation infrastructure first,3
D_P_run5,M2,C,C_M2_3,Human dignity and social access lens,Physical risk-mechanism optimization lens,2
D_P_run5,M3,Q,C_M3_1,Parameterized budget allocation metric,Unquantified theoretical assertion,7
D_P_run5,M3,Q,C_M3_2,Micro-level observable indicator variables,Macro-level unobservable latent constructs,8
D_P_run5,M3,Q,C_M3_3,Empirically measurable physical constraints,Qualitative socio-political vulnerability claims,3
D_P_run5,M4,S,C_M4_1,Prioritizing social adaptive capacity,Minimizing measurable hazard exposure,9
D_P_run5,M4,S,C_M4_2,Engineering and actuarial optimization,Social cohesion and human development,3
D_P_run5,M4,S,C_M4_3,Social-system resilience leverage,Physical coastal defense mechanism,3
D_P_run5,M5,E,C_M5_1,Adaptive capacity and physical constraints,Probabilistic exposure elimination,9
D_P_run5,M5,E,C_M5_2,Social and fiscal capacity limits,Expected value optimization,9
D_P_run5,M5,E,C_M5_3,Human and social capital,Expected value calculation,2
E_N_run1,M1,neutral,C_M1_1,Ex-ante regulatory gatekeeping of frontier models,Ex-post liability via existing legal mechanisms,4
E_N_run1,M1,neutral,C_M1_2,Targeting technical capability thresholds upstream,Protecting individual rights at deployment,4
E_N_run1,M1,neutral,C_M1_3,Justified by systemic catastrophic risk prevention,Justified by feasibility and implementation speed,9
E_N_run1,M2,neutral,C_M2_1,Rights-and-process primary framework,Capability-threshold licensing primary framework,4
E_N_run1,M2,neutral,C_M2_2,Ex ante rights and procedural safeguards,Ex post outcomes-based liability,4
E_N_run1,M2,neutral,C_M2_3,Frontier capability-threshold licensing,Deployment-focused rights-and-process governance,4
E_N_run1,M3,neutral,C_M3_1,Recommends a rights-and-process-based governance framework,Recommends an outcomes-based liability framework,4
E_N_run1,M3,neutral,C_M3_2,Focuses on establishing global geopolitical leverage and norm-shaping power,"Focuses on rapid, pragmatic implementation using existing domestic legal markets",4
E_N_run1,M4,neutral,C_M4_1,Driven by 18-month implementation feasibility,Driven by strategic market power leverage,0
E_N_run1,M4,neutral,C_M4_2,Government regulatory oversight,Private market-driven enforcement,4
E_N_run1,M4,neutral,C_M4_3,Market-based incentive governance,Rights-and-process governance,4
E_N_run2,M1,neutral,C_M1_1,"Ex ante control over frontier model development (E3, E4)",Leveraging existing domain regulators downstream (E1),1
E_N_run2,M1,neutral,C_M1_2,"Centralized horizontal licensing regime (E3, E4)",Distributed sector-by-sector regulatory authority (E1),4
E_N_run2,M1,neutral,C_M1_3,"Shaping norms through market/legal leverage without gatekeeping (E2, E5)",Asserting upstream control via compute-based licensing (E3),4
E_N_run2,M2,neutral,C_M2_1,Sectoral or liability-based deployment governance,Ex ante frontier capability licensing,4
E_N_run2,M2,neutral,C_M2_2,Deployment legitimacy and harm accountability,Frontier model creation control,4
E_N_run2,M2,neutral,C_M2_3,Ex ante compute/capability licensing,Ex post outcomes-based liability,4
E_N_run2,M3,neutral,C_M3_1,"Leveraging coalition's collective economic and market scale (E2, E3)",Leveraging normative legitimacy and democratic values (E5),1
E_N_run2,M3,neutral,C_M3_2,"Incorporating domain-specific sectoral regulatory frameworks (E1, E5)",Establishing a single harmonized cross-sector licensing gateway (,4
E_N_run2,M4,neutral,C_M4_1,ex ante licensing control,ex post liability and rights,4
E_N_run2,M4,neutral,C_M4_2,pre-market regulatory approval,"decentralized, sector-specific sovereignty",4
E_N_run2,M4,neutral,C_M4_3,compute-based licensing threshold,process-based democratic legitimacy,4
E_N_run2,M5,neutral,C_M5_1,Aggregate market normative leverage,Sector-specific regulatory sovereignty,4
E_N_run2,M5,neutral,C_M5_2,Outward norm projection,Sector-specific regulatory sovereignty,4
E_N_run2,M5,neutral,C_M5_3,Regulator-driven gatekeeping,Outcome-based liability,4
E_N_run3,M1,neutral,C_M1_1,Emphasizes external/geopolitical positioning and exportable influence (E4),"Emphasizes internal citizen protection and democratic alignment (E2, E5)",1
E_N_run3,M1,neutral,C_M1_2,Market-leverage and liability-driven enforcement (E3),"Rights-and-process legal framework approach (E4, E5)",4
E_N_run3,M1,neutral,C_M1_3,"Leverages market size or existing institutional capacity (E1, E3)",Leverages normative rights and democratic legitimacy (E5),1
E_N_run3,M2,neutral,C_M2_1,Economy-wide horizontal governance,Sector-specific regulatory sovereignty,4
E_N_run3,M2,neutral,C_M2_2,Rights-based citizen safeguards,Sector-specific institutional enforcement,4
E_N_run3,M2,neutral,C_M2_3,Rights-and-process democratic governance,Sector-specific regulatory sovereignty,4
